pmid,sample_mechanism,sample_bucket,predicted_evidence_level,title,year,journal,pub_types,mechanisms,abstract_excerpt,gold_evidence_level,gold_label_status,gold_notes
36405739,immunotherapy,predicted-tagged,preclinical-invivo,Oncolytic virus driven T-cell-based combination immunotherapy platform for colorectal cancer.,2022,Frontiers in immunology,"Journal Article | Research Support, Non-U.S. Gov't",bispecific-antibody | immunotherapy | oncolytic-virus,"colorectal cancer is the third most diagnosed cancer and the second leading cause of cancer mortality worldwide, highlighting an urgent need for new therapeutic options and combination strategies for patients. the orchestration of potent t cell responses against human cancers is necessary for effective antitumour immunity. however, regression of a limited number of cancers has been induced by immune checkpoint inhibitors, t cell engagers (tces) and/or oncolytic viruses. although one tce has been...",preclinical-invivo,manual-v1,
36717184,immunotherapy,predicted-tagged,preclinical-invivo,Generation of novel oncolytic vaccinia virus with improved intravenous efficacy through protection against complement-mediated lysis and evasion of neutralization by vaccinia virus-specific antibodies.,2023,Journal for immunotherapy of cancer,"Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | oncolytic-virus,"**background**: oncolytic virus immunotherapy has revolutionized cancer immunotherapy by efficiently inducing both oncolysis and systemic immune activation. locoregional administration has been used for oncolytic virus therapy, but its applications to deep-seated cancers have been limited. although systemic delivery of the oncolytic virus would maximize viral immunotherapy's potential, this remains a hurdle due to the rapid removal of the administered virus by the complement and innate immune sy...",preclinical-invivo,manual-v1,
37433716,immunotherapy,predicted-tagged,preclinical-invivo,"Combination oncolytic virus, radiation therapy, and immune checkpoint inhibitor treatment in anti-PD-1-refractory cancer.",2023,Journal for immunotherapy of cancer,"Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | oncolytic-virus,"**background**: immunotherapies are becoming front-line treatments for many advanced cancers, and combinations of two or more therapies are beginning to be investigated. based on their individual antitumor capabilities, we sought to determine whether combination oncolytic virus (ov) and radiation therapy (rt) may improve cancer outcomes. **methods**: to investigate the activity of this combination therapy, we used in vitro mouse and human cancer cell lines as well as a mouse model of skin cancer...",preclinical-invivo,manual-v1,
38022659,immunotherapy,predicted-tagged,phase1-clinical,"A phase I oncolytic virus trial with vesicular stomatitis virus expressing human interferon beta and tyrosinase related protein 1 administered intratumorally and intravenously in uveal melanoma: safety, efficacy, and T cell responses.",2023,Frontiers in immunology,"Clinical Trial, Phase I | Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | oncolytic-virus,"**introduction**: metastatic uveal melanoma (mum) has a poor prognosis and treatment options are limited. these patients do not typically experience durable responses to immune checkpoint inhibitors (icis). oncolytic viruses (ov) represent a novel approach to immunotherapy for patients with mum. **methods**: we developed an ov with a vesicular stomatitis virus (vsv) vector modified to express interferon-beta (ifn-β) and tyrosinase related protein 1 (tyrp1) (vsv-ifnβ-tyrp1), and conducted a phase...",phase1-clinical,manual-v1,
39679828,immunotherapy,predicted-tagged,preclinical-invitro,Activatable Sulfur Dioxide Nanosonosensitizer Enables Precisely Controllable Sono-Gaseous Checkpoint Trimodal Therapy for Orthotopic Hepatocellular Carcinoma.,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Journal Article,immunotherapy | nanoparticle | sonodynamic,"immune checkpoint blockade (icb) is combined with sonodynamic therapy (sdt) to increase response rates and enhance anticancer efficacy. however, the ""always on"" property of most sonosensitizers in reducing tumor microenvironment (tme) compromises the therapeutic outcome of sonoimmunotherapy and exacerbates adverse side effects. precisely controllable strategies combining sulfur dioxide (so2) gas therapy with cancer immunotherapy can address these issues but remain lacking. herein an ""activatable...",preclinical-invivo,manual-v1,predicted in vitro but title and abstract indicate orthotopic tumor work
40040833,immunotherapy,predicted-tagged,preclinical-invivo,A pH responsive nanocomposite for combination sonodynamic-immunotherapy with ferroptosis and calcium ion overload via SLC7A11/ACSL4/LPCAT3 pathway.,2025,"Exploration (Beijing, China)",Journal Article,immunotherapy | nanoparticle | sonodynamic,"sonodynamic therapy offers a non-invasive approach to induce the death of tumor cells. by harnessing ultrasound waves in tandem with sonosensitizers, this method produces reactive oxygen species (ros) that inflict oxidative damage upon tumor cells, subsequently causing their demise. ferroptosis is a regulatory form of cell death that differs from other forms, characterized by iron accumulation, ros accumulation, and lipid peroxidation. in the presented research, a nanoparticle formulation, parth...",preclinical-invivo,manual-v1,
40069686,immunotherapy,predicted-tagged,preclinical-invitro,MXene-based nanosheet for enhanced glioma therapy via photonic hyperthermia to boost the abscopal effect of radioimmunotherapy.,2025,Journal of nanobiotechnology,Journal Article,immunotherapy,"radiotherapy (rt) effectiveness is limited by low dna damage in tumor cells, surrounding tissue harm, and tumor radioresistance with active dna repair. herein, we have engineered a two-dimensional nanomaterial consisting of mxene nanosheets at its core, coated with gold nanorods and a cisplatin shell, and further modified with polyvinyl alcohol, referred to as apmp. the apmp exploits its distinctive electronic properties and photothermal effects to augment radiosensitivity and impede dna damage ...",preclinical-invivo,manual-v1,abscopal framing suggests animal efficacy work
40406146,immunotherapy,predicted-tagged,preclinical-invivo,"A conceptual exploration on the synergistic anti-tumor effects of high-order combination of OHSV2-DSTEFAP5/CD3, CAR-T cells, and immunotoxins in hepatocellular carcinoma.",2025,Frontiers in immunology,Journal Article,car-t | immunotherapy | oncolytic-virus,"**background**: although the treatment landscape for advanced hepatocellular carcinoma (hcc) has seen significant advancements in the past decade with the introduction of immune checkpoint inhibitors and antiangiogenic drugs, progress has fallen short of expectations. recently, a novel engineered oncolytic virus (ohsv2) that secretes dual-specific t-cell engagers (dstes) targeting the fibroblast activation protein (fap) was developed and combined with gpc3-targeting car-t cells and immunotoxins ...",theoretical,manual-v1,conceptual exploration rather than completed experiment
40817248,immunotherapy,predicted-tagged,preclinical-invivo,TRIM6 ablation reverses ICB resistance in MSS gastric cancer by unleashing cGAS-STING-dependent antitumor immunity.,2025,Journal of experimental & clinical cancer research : CR,Journal Article,immunotherapy,"**background**: gastric cancers are classified into four molecular subtypes according to the cancer genome atlas (tcga) classification: epstein-barr virus-positive (ebv-positive), microsatellite instability-high (msi-h), chromosomal instability (cin), and genomically stable (gs). unlike msi-h gastric cancer, gs and cin subtypes exhibit immunologically inert microenvironments and demonstrate minimal response to immune checkpoint blockade (icb), necessitating novel strategies to overcome immunothe...",preclinical-invivo,manual-v1,
40943370,immunotherapy,predicted-tagged,preclinical-invivo,Enhancing Antitumor Efficacy of MUC1 mRNA Nano-Vaccine by CTLA-4 siRNA-Mediated Immune Checkpoint Modulation in Triple Negative Breast Cancer Mice Model.,2025,International journal of molecular sciences,Journal Article,immunotherapy | nanoparticle,"immunotherapy, particularly approaches that combine tumor-specific vaccines with immune checkpoint modulation, represents a promising strategy for overcoming tumor immune evasion. while most mrna-based cancer vaccines focus solely on antigen delivery, there is a need for platforms that simultaneously enhance antigen presentation and modulate the tumor microenvironment to increase therapeutic efficacy. this study presents a novel dual-nanolipid exosome (nle) platform that simultaneously delivers ...",preclinical-invivo,manual-v1,
37370255,immunotherapy,predicted-untagged,,Neoantigens in cancer immunotherapy: quantity vs. quality.,2023,Molecular oncology,"Journal Article | Research Support, Non-U.S. Gov't",immunotherapy,"traditional immunotherapies provide clinical benefits to only a few patients with solid tumors, highlighting the urgent need for more effective approaches. traditional immunotherapies rely on the presentation of cancer antigens, with neoantigens being highly important in this context as they are specific to malignant tissue but not healthy tissue. the quantity of neoantigens is often associated with clinical benefit, but it cannot fully explain or predict patient response. in this viewpoint, we ...",none-applicable,manual-v1,conceptual neoantigen discussion rather than direct evidence study
37655661,immunotherapy,predicted-untagged,,Linked CD4+/CD8+ T cell neoantigen vaccination overcomes immune checkpoint blockade resistance and enables tumor regression.,2023,The Journal of clinical investigation,"Journal Article | Research Support, N.I.H., Extramural",immunotherapy,"therapeutic benefit to immune checkpoint blockade (icb) is currently limited to the subset of cancers thought to possess a sufficient tumor mutational burden (tmb) to allow for the spontaneous recognition of neoantigens (neoag) by autologous t cells. we explored whether the response to icb of an aggressive low-tmb squamous cell tumor could be improved through combination immunotherapy using functionally defined neoag as targets for endogenous cd4+ and cd8+ t cells. we found that, whereas vaccina...",preclinical-invivo,manual-v1,
38858600,immunotherapy,predicted-untagged,,Sphingomyelin-derived epacadostat nanovesicle enhances IDO1 inhibition for improved melanoma combination immunotherapy.,2024,Genes and immunity,Journal Article,immunotherapy,,preclinical-invivo,manual-v1,
39210987,immunotherapy,predicted-untagged,,Advanced endometrial cancer-The next generation of treatment: A society of gynecologic oncology journal club clinical commentary.,2024,Gynecologic oncology reports,Journal Article,immunotherapy | synthetic-lethality,"in february of 2024, the society of gynecologic oncology (sgo) hosted a journal club focused on new treatment options for the management of advanced and metastatic endometrial cancer. this clinical commentary is intended to provide a summary report of that presentation. the session described the importance of molecular characterization shown in the work of the cancer genome atlas (tcga). the updated 2023 figo staging of endometrial cancer was reviewed. the panel then described the role of upfron...",none-applicable,manual-v1,clinical commentary
